Ranks,ReviewId,PlanId,OpportunityId,StatusCd,RiskTierCd,RiskTierDesc,ReviewTypeCd,ReviewStageCd,ConductDt,FinalizedDt,TNRinM,TCNRinM,OG,RBE,REG,Quarter,QuarterInNum,OGNum,REGNum,RBENum
2,4301816,1395187,10845460,FALSE,2,Above Normal,O,2b,6/27/2018,6/29/2018,1.13,0,HPS,Security,Europe,Fy18Q4,8,4,3,5
1,4301908,1395341,10845558,FALSE,3,Normal,O,2b,6/19/2018,6/20/2018,3.87,3.87,FS,OG,Europe,Fy18Q4,8,3,3,3
1,4290681,1395392,10845591,FALSE,3,Normal,O,3b,6/17/2018,6/25/2018,2.11,2.11,FS,OG,AAPAC,Fy18Q4,8,3,2,3
1,4290999,1395430,10845618,FALSE,3,Normal,O,3b,7/3/2018,7/5/2018,5,5,RES,Technology,Europe,Fy18Q4,8,6,3,7
2,4319004,1395430,10845618,FALSE,3,Normal,O,2b,6/20/2018,6/22/2018,5,5,RES,Technology,Europe,Fy18Q4,8,6,3,7
2,4401450,1395511,10845666,FALSE,2,Above Normal,O,2b,10/29/2018,10/30/2018,4.63,4.63,CMT,Technology,AAPAC,Fy19Q1,9,2,2,7
1,4291090,1395604,10845725,FALSE,3,Normal,O,3b,9/9/2018,9/13/2018,2.84,2.84,CMT,OG,AAPAC,Fy19Q1,9,2,2,3
2,4387127,1395604,10845725,FALSE,3,Normal,O,2b,8/16/2018,8/21/2018,2.84,2.84,CMT,OG,AAPAC,Fy18Q4,8,2,2,3
1,4291119,1395607,10845728,FALSE,2,Above Normal,O,3b,7/10/2018,7/13/2018,27.06,27.06,PRD,Operations,Na,Fy18Q4,8,5,5,4
2,4291131,1395607,10845728,FALSE,2,Above Normal,O,2b,5/2/2018,5/31/2018,27.06,27.06,PRD,Operations,Na,Fy18Q3,7,5,5,4
1,4293692,1395716,10845802,FALSE,3,Normal,O,2b,7/11/2018,7/27/2018,5.72,5.72,FS,OG,Europe,Fy18Q4,8,3,3,3
1,4294206,1395717,10845803,FALSE,2,Above Normal,O,3b,7/10/2018,7/13/2018,8.66,8.66,PRD,Operations,AAPAC,Fy18Q4,8,5,2,4
2,4294207,1395717,10845803,FALSE,2,Above Normal,O,2b,5/2/2018,6/5/2018,8.66,8.66,PRD,Operations,AAPAC,Fy18Q4,8,5,2,4
1,4291476,1395767,10845838,FALSE,1,High,O,3b,11/8/2018,11/13/2018,4.17,4.17,PRD,OG,Europe,Fy19Q1,9,5,3,3
2,4361458,1395767,10845838,FALSE,2,Above Normal,O,2b,10/16/2018,10/19/2018,4.17,4.17,PRD,OG,Europe,Fy19Q1,9,5,3,3
1,4292238,1395852,10845890,FALSE,3,Normal,O,3b,10/10/2018,10/12/2018,3.04,3.04,PRD,Digital,Na,Fy19Q1,9,5,5,2
2,4379875,1395852,10845890,FALSE,3,Normal,O,2b,8/9/2018,8/16/2018,3.04,3.04,PRD,Digital,Na,Fy18Q4,8,5,5,2
1,4308076,1395878,10845907,FALSE,3,Normal,O,2b,6/14/2018,7/2/2018,1.67,1.67,CMT,OG,Na,Fy18Q4,8,2,5,3
1,4317686,1395887,10845913,FALSE,2,Above Normal,O,3b,6/13/2018,7/11/2018,10.22,10.22,PRD,Technology,Na,Fy18Q4,8,5,5,7
2,4317687,1395887,10845913,FALSE,2,Above Normal,O,2b,3/15/2018,6/22/2018,10.22,10.22,PRD,Technology,Na,Fy18Q4,8,5,5,7
1,4295800,1395999,10845985,FALSE,2,Above Normal,O,2b,11/5/2018,11/6/2018,7.54,7.54,RES,Technology,Na,Fy19Q1,9,6,5,7
2,4295799,1395999,10845985,FALSE,2,Above Normal,O,2b,6/12/2018,6/13/2018,7.54,7.54,RES,Technology,Na,Fy18Q4,8,6,5,7
1,4292247,1396120,10846063,FALSE,3,Normal,O,3b,6/3/2018,6/4/2018,0.49,0.49,CMT,Technology,Na,Fy18Q4,8,2,5,7
1,4296682,1396133,10846067,FALSE,2,Above Normal,O,2b,6/9/2018,6/10/2018,1.7,1.7,HPS,Technology,LA,Fy18Q4,8,4,4,7
1,4292260,1396141,10846073,FALSE,3,Normal,O,3b,6/24/2018,6/26/2018,5.49,5.49,PRD,OG,Na,Fy18Q4,8,5,5,3
1,4422374,1396155,10846082,FALSE,3,Normal,O,2b,9/12/2018,9/16/2018,2.13,2.13,PRD,Security,AAPAC,Fy19Q1,9,5,2,5
1,4292301,1396162,10846087,FALSE,2,Above Normal,O,3b,7/10/2018,7/13/2018,8.1,8.1,PRD,Operations,LA,Fy18Q4,8,5,4,4
2,4292302,1396162,10846087,FALSE,2,Above Normal,O,2b,5/2/2018,6/6/2018,8.1,8.1,PRD,Operations,LA,Fy18Q4,8,5,4,4
1,4299961,1396258,10846149,FALSE,3,Normal,O,3b,7/16/2018,7/17/2018,3.9,3.9,RES,OG,AAPAC,Fy18Q4,8,6,2,3
1,4292469,1396288,10846169,FALSE,3,Normal,O,3b,8/19/2018,8/22/2018,1.88,1.88,HPS,Technology,AAPAC,Fy18Q4,8,4,2,7
1,4298203,1396315,10846186,FALSE,3,Normal,O,3b,6/25/2018,7/4/2018,1.89,0.06,FS,Digital,AAPAC,Fy18Q4,8,3,2,2
1,4292731,1396428,10846263,FALSE,3,Normal,O,3b,6/26/2018,6/27/2018,0.5,0.5,CMT,Strategy,AAPAC,Fy18Q4,8,2,2,6
1,4292911,1396476,10846293,FALSE,3,Normal,O,3b,8/2/2018,8/2/2018,4.05,0.23,FS,Digital,AAPAC,Fy18Q4,8,3,2,2
2,4292912,1396476,10846293,FALSE,3,Normal,O,2b,6/24/2018,7/4/2018,4.05,0.23,FS,Digital,AAPAC,Fy18Q4,8,3,2,2
1,4293059,1396604,10846371,FALSE,2,Above Normal,O,3b,5/20/2018,6/1/2018,0.51,0.51,FS,Technology,AAPAC,Fy18Q4,8,3,2,7
1,4293123,1396625,10846384,FALSE,3,Normal,O,2b,10/4/2018,10/10/2018,0.13,0.13,CMT,OG,AAPAC,Fy19Q1,9,2,2,3
1,4293257,1396663,10846408,FALSE,2,Above Normal,O,3b,4/16/2018,6/1/2018,35.25,5.11,CMT,Technology,AAPAC,Fy18Q4,8,2,2,7
2,4293258,1396663,10846408,FALSE,2,Above Normal,O,2b,3/12/2018,6/1/2018,35.25,5.11,CMT,Technology,AAPAC,Fy18Q4,8,2,2,7
1,4295730,1396683,10846421,FALSE,2,Above Normal,O,2b,5/28/2018,6/6/2018,11.68,8.01,HPS,Technology,AAPAC,Fy18Q4,8,4,2,7
1,4296316,1396694,10846428,FALSE,2,Above Normal,O,2b,5/28/2018,6/6/2018,29.47,25.8,HPS,Technology,AAPAC,Fy18Q4,8,4,2,7
